slug,title,availability,coverage_period,description,report_type,filename,url,parent_slug,display_order,published
soc1,"SOC 1, Type 2 Report",all_accounts,"2024-04-01 to 2024-09-30","The SOC 1, Type 2 report documents GitHub's internal controls that may be relevant to a customer's financial statements. The GitHub SOC reporting periods conclude September 30 and March 31. New SOC 1 & SOC 2 reports will be available by the end of November and May respectively.",download,"GitHub.Enterprise.Cloud.SOC.1.Type.2.ITGC.ISAE.Report.11-26-24.4.pdf",,,0,true
soc2,"SOC2, Type 2 Report",all_accounts,"April 1, 2024 through September 30, 2024","The SOC 2, Type 2 report documents GitHub's internal controls that may be relevant to a customer's financial statements. The GitHub SOC reporting periods conclude September 30 and March 31. New SOC 1 & SOC 2 reports will be available by the end of November and May respectively.",download,"GitHub.Enterprise.Cloud.SOC.2.Type.2.ISAE.Report.11-26-24.Report.4.pdf",,,1,true
soc2-bridge-letter,"SOC 2, Type 2 Bridge Letter",all_accounts,"October 1, 2024 through December 31, 2024","Accompanying bridge letter for the SOC 1, Type 2 report.",download,"GitHubEnterpriseCloud-2024_SOC2_Type_II-Bridge_Letter_General_Purpose_Jan_2025.docx.pdf",,,2,true
csa-star,"GitHub.com CSA STAR Level 2 certification",all_accounts,"2024-05-09 to 2025-05-05","This certificate is evidence of the GitHub's conformance with the Cloud Controls Matrix (CCM) in coordination with an assessment of the ISO/IEC 27001:2013 standard performed by an ANAB-accredited certification body.",download,"GitHub.CSA.STAR.Certificate.Award.-.5.9.2024.1.pdf",,,3,true
iso-27001,"GitHub.com ISO/IEC 27001:2013 certification",all_accounts,"2024-05-09 to 2025-05-09","The ISO/IEC 27001 certificate confirms the Information Security Management System (ISMS) supporting the operations underlying GitHub.com.",download,"GitHub.ISO.27001.Certificate.Award.5.9.2024.6.pdf",,,4,true
services-continuity-incident-management-plan,"GitHub.com Services Continuity and Incident Management Plan",all_accounts,"Last updated 2024-12-02","The Services Continuity and Incident Management Plan documents the measures GitHub has taken to respond to significant business disruptions.",download,"GitHub.com_Services_Continuity_and_Incident_Management_Plan.pdf",,,5,true
csa-caiq,"CSA CAIQ",all_accounts,,"The Cloud Security Alliance Consensus Assessment Initiative Questionnaire (CSA-CAIQ or CAIQ) is a self-assessment that evaluates a cloud provider against CSA's Cloud Control Matrix.",link,,"https://cloudsecurityalliance.org/star/registry/github-inc",,6,true
bug-bounty,"Bug Bounty",all_accounts,,"Reports for the GitHub Bug Bounty program used to continuously assess and harden GitHub's products and services. The scope of the Bug Bounty program can be found at https://bounty.github.com.",group,,,,7,true
bug-bounty-apr-jun-2024,"Bug Bounty, April - June, 2024",all_accounts,"2024-04-01 to 2024-06-30","Bug Bounty, April - June, 2024",download,"GitHub.Bug.Bounty.DLOE.Apr.-.Jun.2024.pdf",,bug-bounty,8,true
bug-bounty-jan-mar-2024,"Bug Bounty, January - March, 2024",all_accounts,"2024-01-01 to 2024-03-31","Bug Bounty, January - March, 2024",download,"GitHub.Bug.Bounty.DLOE.Jan-Mar.2024.pdf",,bug-bounty,9,true
bug-bounty-oct-dec-2023,"Bug Bounty, October - December, 2023",all_accounts,"2023-10-01 to 2023-12-31","Bug Bounty, October - December, 2023",download,"GitHub.Bug.Bounty.DLOE.Oct.-.Dec.2023.pdf",,bug-bounty,10,true
bug-bounty-apr-jun-2023,"Bug Bounty, April - June, 2023",all_accounts,"2023-04-01 to 2023-06-30","Bug Bounty, April - June, 2023",download,"GitHub.Bug.Bounty.DLOE.Apr-Jun.2023.pdf",,bug-bounty,11,true
